tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,mtf
930KIIFB30,BSE,250231812,INE658F08508,CNC,0,1,0,0,1,0,2026-05-08 00:00:00,{},1,0,0,,False,100803.0,101100.0,101100.0,297.0,0.0,0.0,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
BEL,BSE,128012548,INE263A01024,CNC,0,7,0,0,7,0,2026-05-08 00:00:00,{},7,0,0,,False,436.25,439.65,439.7,23.79999999999984,-0.05000000000001137,-0.011371389583809727,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
BHARTIARTL,NSE,2714625,INE397D01024,CNC,0,2,0,0,2,0,2026-05-08 00:00:00,{},2,0,0,,False,1804.7,1834.5,1826.6,59.59999999999991,7.900000000000091,0.43249753640644323,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
COCHINSHIP,BSE,138413572,INE704P01025,CNC,0,1,0,0,1,0,2026-05-08 00:00:00,{},1,0,0,,False,1399.4,1775.8,1815.2,376.39999999999986,-39.40000000000009,-2.1705597179374223,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
HDFCBANK,NSE,341249,INE040A01034,CNC,0,4,0,0,4,0,2026-05-08 00:00:00,{},4,0,0,,False,818.9,780.85,796.05,-152.19999999999982,-15.199999999999932,-1.9094277997613132,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
ICICIBANK,NSE,1270529,INE090A01021,CNC,0,2,0,0,2,0,2026-05-08 00:00:00,{},2,0,0,,False,1252.9,1264.8,1279.0,23.799999999999727,-14.200000000000045,-1.1102423768569232,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
IRCON,BSE,138740740,INE962Y01021,CNC,0,12,0,0,12,0,2026-05-08 00:00:00,{},12,0,0,,False,132.49,158.35,161.5,310.3199999999998,-3.1500000000000057,-1.9504643962848331,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
JUNIORBEES,NSE,2800385,INF732E01045,CNC,0,50,0,0,50,0,2026-05-08 00:00:00,{},50,0,0,,False,678.8066,771.73,774.97,4646.170000000001,-3.240000000000009,-0.41808069989806174,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
LIQUIDBEES,NSE,2817537,INF732E01037,CNC,0,54,0,0,54,0,2026-05-08 00:00:00,{},54,0,0,,False,998.456844,1000.0,1000.0,83.33042399999749,0.0,0.0,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
LT,NSE,2939649,INE018A01030,CNC,0,1,0,0,1,0,2026-05-08 00:00:00,{},1,0,0,,False,3476.8,3974.5,4023.0,497.6999999999998,-48.5,-1.205567984091474,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
MAFANG,BSE,139082500,INF769K01HF4,CNC,0,49,0,0,49,0,2026-05-08 00:00:00,{},49,0,0,,False,162.62,189.54,187.05,1319.0799999999995,2.4899999999999807,1.3311948676824275,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
MON100,NSE,5821185,INF247L01AP3,CNC,0,110,0,0,110,0,2026-05-08 00:00:00,{},110,0,0,,False,218.845,316.77,312.5,10771.749999999998,4.269999999999982,1.3663999999999943,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
NIFTYBEES,NSE,2707457,INF204KB14I2,CNC,0,245,0,0,245,0,2026-05-08 00:00:00,{},245,0,0,,False,266.314612,273.94,275.17,1868.2200599999967,-1.2300000000000182,-0.44699640222408626,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
RELIANCE,NSE,738561,INE002A01018,CNC,0,2,0,0,2,0,2026-05-08 00:00:00,{},2,0,0,,False,1381.9,1435.2,1436.2,106.59999999999991,-1.0,-0.06962818548948614,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
TATAPOWER,NSE,877057,INE245A01021,CNC,0,8,0,0,8,0,2026-05-08 00:00:00,{},8,0,0,,False,395.8,436.0,439.25,321.5999999999999,-3.25,-0.7398975526465565,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
TCS,BSE,136330244,INE467B01029,CNC,0,1,0,0,1,0,2026-05-08 00:00:00,{},1,0,0,,False,2403.6,2394.85,2401.75,-8.75,-6.900000000000091,-0.2872905173311165,"{'quantity': 0, 'used_quantity': 0, 'average_price': 0, 'value': 0, 'initial_margin': 0}"
